,AÑO,SEMESTRE,VICTIMA_x,MES,POBLACION TOTAL,TASA_SEMESTRAL
104,2016,2,75,10,3005929.0,2.495068912139974
105,2016,2,75,10,3005929.0,2.495068912139974
106,2016,2,75,10,3005929.0,2.495068912139974
107,2016,2,75,10,3005929.0,2.495068912139974
108,2016,2,75,11,3005929.0,2.495068912139974
109,2016,2,75,11,3005929.0,2.495068912139974
110,2016,2,75,11,3005929.0,2.495068912139974
111,2016,2,75,11,3005929.0,2.495068912139974
112,2016,2,75,11,3005929.0,2.495068912139974
113,2016,2,75,11,3005929.0,2.495068912139974
114,2016,2,75,11,3005929.0,2.495068912139974
115,2016,2,75,11,3005929.0,2.495068912139974
116,2016,2,75,11,3005929.0,2.495068912139974
117,2016,2,75,11,3005929.0,2.495068912139974
118,2016,2,75,11,3005929.0,2.495068912139974
119,2016,2,75,11,3005929.0,2.495068912139974
120,2016,2,75,12,3005929.0,2.495068912139974
121,2016,2,75,12,3005929.0,2.495068912139974
122,2016,2,75,12,3005929.0,2.495068912139974
123,2016,2,75,12,3005929.0,2.495068912139974
124,2016,2,75,12,3005929.0,2.495068912139974
125,2016,2,75,12,3005929.0,2.495068912139974
126,2016,2,75,12,3005929.0,2.495068912139974
127,2016,2,75,12,3005929.0,2.495068912139974
128,2016,2,75,12,3005929.0,2.495068912139974
129,2016,2,75,12,3005929.0,2.495068912139974
130,2016,2,75,12,3005929.0,2.495068912139974
131,2016,2,75,12,3005929.0,2.495068912139974
132,2016,2,75,12,3005929.0,2.495068912139974
133,2016,2,75,12,3005929.0,2.495068912139974
134,2016,2,75,12,3005929.0,2.495068912139974
135,2016,2,75,12,3005929.0,2.495068912139974
136,2016,2,75,12,3005929.0,2.495068912139974
137,2017,1,65,1,3025225.33333333,2.1486002805741435
138,2017,1,65,1,3025225.33333333,2.1486002805741435
139,2017,1,65,1,3025225.33333333,2.1486002805741435
140,2017,1,65,1,3025225.33333333,2.1486002805741435
141,2017,1,65,1,3025225.33333333,2.1486002805741435
142,2017,1,65,1,3025225.33333333,2.1486002805741435
143,2017,1,65,1,3025225.33333333,2.1486002805741435
144,2017,1,65,1,3025225.33333333,2.1486002805741435
145,2017,1,65,2,3025225.33333333,2.1486002805741435
146,2017,1,65,2,3025225.33333333,2.1486002805741435
147,2017,1,65,2,3025225.33333333,2.1486002805741435
148,2017,1,65,2,3025225.33333333,2.1486002805741435
